,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
43,10,5,9,13,13,11,12,4,4,10,12,8,10,6,5,13,9,13,10,11,11,12,15,10,10,13,9,13,4,8,9,9,5,13,6,9,2,2,2,7,0,0,2,2,2,8,0,0
44,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,11,6,6,5,5,3,7,2,2,2,2,5,12,2,2,2,2,2,8,2,2,2,2,5,9,6,11,6,11
45,13,12,2,2,10,11,8,10,11,6,9,12,9,12,8,15,4,10,3,10,9,4,4,10,3,10,11,11,6,13,6,13,12,7,2,7,2,10,9,13,5,13,5,9,6,12,2,8
46,13,12,4,4,4,4,10,9,5,5,11,6,13,11,11,6,9,6,12,10,13,6,6,6,12,8,7,4,14,4,13,9,13,11,4,4,8,4,10,12,4,4,12,4,7,8,4,4
47,15,10,5,12,3,7,4,8,3,10,5,12,5,12,3,8,0,10,11,12,3,7,0,8,12,10,5,9,6,13,10,13,6,6,6,9,12,8,2,2,2,2,10,12,2,2,2,2
48,14,10,11,13,12,7,4,8,7,7,10,9,4,7,10,12,7,2,4,7,7,10,12,2,5,12,7,7,8,2,2,7,8,7,10,5,2,8,8,7,8,2,2,7,8,7,8,2
49,4,4,4,4,14,10,11,5,11,11,4,7,12,1,7,10,4,8,7,1,7,10,11,13,12,1,8,8,7,8,9,6,13,12,8,7,5,6,9,12,7,7,2,2,2,7,7,8
50,10,9,5,5,12,15,9,11,11,6,9,4,1,7,8,3,3,3,5,9,12,3,3,3,6,5,12,3,3,3,6,6,13,5,6,5,5,6,13,5,6,11,1,1,10,11,6,9
51,15,8,10,9,11,6,4,7,7,4,7,3,6,9,12,4,8,3,5,6,13,5,12,3,4,4,7,3,10,6,4,4,8,3,7,4,4,4,8,3,7,4,4,4,8,3,7,4
52,5,5,11,13,6,12,3,3,10,13,6,13,3,3,7,8,15,7,11,5,9,9,4,7,10,6,5,6,6,9,7,4,4,4,4,4,9,5,6,6,6,6,2,2,2,2,2,2
53,4,4,4,7,3,7,4,4,4,7,3,10,4,15,4,10,11,12,4,4,4,10,12,8,11,6,5,13,12,7,7,4,4,7,10,9,8,4,4,8,10,11,12,4,4,7,7,8
54,11,12,14,4,4,4,12,7,4,4,4,4,8,8,4,4,4,4,7,8,4,4,4,4,13,12,4,4,4,4,13,12,4,4,4,4,8,7,4,4,4,4,7,7,4,4,4,4
55,15,7,3,7,3,3,4,10,6,12,3,3,4,7,3,10,6,11,4,8,3,8,0,10,4,7,3,8,0,8,4,7,3,7,0,10,4,8,3,7,0,7,4,8,3,7,0,8
56,14,8,7,4,10,5,4,7,10,6,13,11,4,8,8,1,10,12,4,7,10,6,12,7,4,8,7,2,7,7,4,8,7,2,8,7,4,7,8,2,7,7,4,8,7,2,8,8
57,15,4,8,1,1,1,4,4,8,1,1,1,4,4,10,11,11,6,4,4,8,8,10,6,4,4,7,10,13,11,4,4,7,7,7,7,4,4,7,7,8,7,11,11,12,7,10,9
58,14,4,10,9,13,12,4,4,8,1,7,10,4,4,10,6,13,12,4,4,10,5,12,8,6,11,13,5,9,9,6,12,8,3,3,3,5,12,10,5,11,11,1,8,7,3,8,8
59,15,8,1,10,11,11,4,7,1,8,8,8,4,8,1,7,8,7,4,7,1,7,7,7,4,8,1,10,12,7,4,7,1,8,7,7,4,8,1,10,13,12,11,13,11,13,12,7
60,1,1,1,1,1,1,6,6,11,11,11,5,14,4,10,12,7,2,4,4,8,8,10,5,4,4,8,7,8,2,6,11,12,8,7,2,6,12,10,12,7,2,6,12,10,12,8,2
61,9,6,5,12,1,1,15,4,4,8,1,1,4,4,4,8,1,1,4,4,4,10,5,11,4,4,4,7,2,10,4,4,4,8,2,8,4,4,4,7,2,8,4,4,4,8,2,10
62,15,7,3,10,5,5,4,8,3,8,1,1,4,7,3,8,1,1,4,8,3,7,1,1,6,12,3,10,11,6,0,10,11,9,12,2,0,7,8,2,8,2,0,10,12,2,8,2
63,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,6,11,11,11,11,13,11,12,7,7,7,8,7,10,13,12,8,12,8,10,13,12,10,7,8,8,8,7,7
64,15,8,7,8,4,7,4,8,8,8,4,10,4,7,8,10,6,12,4,8,7,10,5,13,4,8,10,12,2,8,4,7,8,7,2,10,11,9,12,8,2,8,12,2,8,7,2,8
